[DOMAIN:标签] [CAT:人物/对象] 1girl | 1个女孩
[DOMAIN:标签] [CAT:人物/身份（职业）] slave | 奴隶
[DOMAIN:标签] [CAT:人物/面部] scar_on_forehead | 额头伤疤
[DOMAIN:标签] [CAT:人物/对象] female_human | 人类女性
[DOMAIN:标签] [CAT:人物/面部] snot | 鼻涕
[DOMAIN:标签] [CAT:人物/面部] notched_ear | 缺口耳
[DOMAIN:标签] [CAT:人物/嘴巴] lipstick_mark | 唇印
[DOMAIN:标签] [CAT:人物/皮肤] piebald | 花斑色
[DOMAIN:标签] [CAT:人物/性器官] precum_on_penis | 阴茎先走液
[DOMAIN:标签] [CAT:人物/翅膀] asymmetrical_horns | 不对称角
[DOMAIN:标签] [CAT:人物/对象] slime_girl | 史莱姆少女
[DOMAIN:标签] [CAT:人物/皮肤] yellow_skin | 黄色皮肤
[DOMAIN:标签] [CAT:人物/头发发型] dark_hair | 深色头发
[DOMAIN:标签] [CAT:人物/对象] rodent_humanoid | 啮齿类人形
[DOMAIN:标签] [CAT:人物/身份（职业）] os-tan | 操作系统娘
[DOMAIN:标签] [CAT:人物/翅膀] energy_wings | 能量翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] soldier | 士兵
[DOMAIN:标签] [CAT:人物/对象] tiger_boy | 虎少年
[DOMAIN:标签] [CAT:人物/对象] grey_horns | 灰色犄角
[DOMAIN:标签] [CAT:人物/瞳孔] x-shaped_pupils | X形瞳孔
[DOMAIN:标签] [CAT:人物/翅膀] deer_ears | 鹿耳
[DOMAIN:标签] [CAT:人物/年龄] kodomo_doushi | 儿童行事
[DOMAIN:标签] [CAT:人物/翅膀] monkey_tail | 猴子尾巴
[DOMAIN:标签] [CAT:人物/头发发型] center-flap_bangs | 中分刘海
[DOMAIN:标签] [CAT:人物/对象] alternate_form | 形态转变
[DOMAIN:标签] [CAT:人物/指甲] white_nails | 白色指甲
[DOMAIN:标签] [CAT:人物/腹部] covered_abs | 遮挡的腹肌
[DOMAIN:标签] [CAT:人物/身份（职业）] student | 学生
[DOMAIN:标签] [CAT:人物/头发发型] high_side_ponytail | 高侧马尾
[DOMAIN:标签] [CAT:人物/性器官] small_penis | 短小阴茎
[DOMAIN:标签] [CAT:人物/面部] red_lipstick | 红色唇膏
[DOMAIN:标签] [CAT:人物/面部] skin_fangs | 尖牙
[DOMAIN:标签] [CAT:人物/头发发型] mohawk | 莫霍克
[DOMAIN:标签] [CAT:人物/面部] blue_lips | 蓝色嘴唇
[DOMAIN:标签] [CAT:人物/身材] thick_arms | 粗壮手臂
[DOMAIN:标签] [CAT:人物/面部] dirty_face | 脏污面容
[DOMAIN:标签] [CAT:人物/头发发型] hair_flowing_over | 飘逸长发
[DOMAIN:标签] [CAT:人物/翅膀] cone_horns | 锥形角
[DOMAIN:标签] [CAT:人物/瞳孔] blue_pupils | 蓝色瞳孔
[DOMAIN:标签] [CAT:人物/对象] squirrel_girl | 松鼠女孩
[DOMAIN:标签] [CAT:人物/指甲] scratches | 抓痕
[DOMAIN:标签] [CAT:人物/身份（职业）] octarian | 章鱼族
[DOMAIN:标签] [CAT:人物/身份（职业）] orc | 兽人
[DOMAIN:标签] [CAT:人物/指甲] sharp_nails | 尖锐指甲
[DOMAIN:标签] [CAT:人物/皮肤] cracked_skin | 皮肤裂纹
[DOMAIN:标签] [CAT:人物/面部] running_makeup | 花妆
[DOMAIN:标签] [CAT:人物/翅膀] white_tail | 白色尾巴
[DOMAIN:标签] [CAT:人物/腰部] hip_bones | 髋骨
[DOMAIN:标签] [CAT:人物/指甲] back_tattoo | 背部纹身
[DOMAIN:标签] [CAT:人物/对象] mechabare | 机械裸露
[DOMAIN:标签] [CAT:人物/性器官] stray_pubic_hair | 杂散阴毛
[DOMAIN:标签] [CAT:人物/对象] pregnant_male | 怀孕雄性
[DOMAIN:标签] [CAT:人物/身份（职业）] wife_and_wife | 妻与妻
[DOMAIN:标签] [CAT:人物/身份（职业）] princess | 公主
[DOMAIN:标签] [CAT:人物/翅膀] jackal_ears | 胡狼耳
[DOMAIN:标签] [CAT:人物/胸部] dark_areola | 深色乳晕
[DOMAIN:标签] [CAT:人物/翅膀] flame-tipped_tail | 火焰尾尖
[DOMAIN:标签] [CAT:人物/翅膀] ghost_tail | 幽灵尾巴
[DOMAIN:标签] [CAT:人物/年龄] onee-loli | 姐系萝莉
[DOMAIN:标签] [CAT:人物/对象] broken_horn | 断角
[DOMAIN:标签] [CAT:人物/对象] large_tail | 大尾巴
[DOMAIN:标签] [CAT:人物/牙齿] face_paint | 面部彩绘
[DOMAIN:标签] [CAT:人物/面部] full_beard | 浓密胡须
[DOMAIN:标签] [CAT:人物/眼睛] hypnotic_eyes | 催眠眼
[DOMAIN:标签] [CAT:人物/对象] mostly_nude_female | 近全裸女性
[DOMAIN:标签] [CAT:人物/身份（职业）] pirate | 海盗
[DOMAIN:标签] [CAT:人物/翅膀] yellow_horns | 黄色犄角
[DOMAIN:标签] [CAT:人物/腿部] bad_feet | 足部缺陷
[DOMAIN:标签] [CAT:人物/对象] robot_girl | 机器人少女
[DOMAIN:标签] [CAT:人物/身材] obliques | 腹斜肌
[DOMAIN:标签] [CAT:人物/头发发型] dreadlocks | 脏辫
[DOMAIN:标签] [CAT:人物/翅膀] mechanical_tail | 机械尾巴
[DOMAIN:标签] [CAT:人物/头发发型] wide_ponytail | 宽马尾
[DOMAIN:标签] [CAT:人物/肩部] bandaged_neck | 颈部绷带
[DOMAIN:标签] [CAT:人物/年龄] young_humanoid | 年轻类人生物
[DOMAIN:标签] [CAT:人物/身材] tall_female | 高个女性
[DOMAIN:标签] [CAT:人物/对象] furry_with_furry | 兽迷与兽迷
[DOMAIN:标签] [CAT:人物/腿部] no_feet | 无足部
[DOMAIN:标签] [CAT:人物/头发发型] sideburns_stubble | 鬓角胡茬
[DOMAIN:标签] [CAT:人物/身材] pear-shaped_figure | 梨形身材
[DOMAIN:标签] [CAT:人物/指甲] fewer_digits | 少指畸形
[DOMAIN:标签] [CAT:人物/头发发型] buzz_cut | 板寸头
[DOMAIN:标签] [CAT:人物/胸部] breast_slip | 露胸
[DOMAIN:标签] [CAT:人物/对象] corpse | 尸体
[DOMAIN:标签] [CAT:人物/面部] mechanical_horns | 机械角
[DOMAIN:标签] [CAT:人物/性器官] bandaid_on_pussy | 私处创可贴
[DOMAIN:标签] [CAT:人物/头发发型] arched_bangs | 拱形刘海
[DOMAIN:标签] [CAT:人物/腰部] bare_hips | 裸露臀部
[DOMAIN:标签] [CAT:人物/眼睛] flaming_eye | 火焰眼
[DOMAIN:标签] [CAT:人物/面部] no_eyewear | 未戴眼镜
[DOMAIN:标签] [CAT:人物/头发发型] orange_fur | 橙色毛发
[DOMAIN:标签] [CAT:人物/性器官] urethra | 尿道
[DOMAIN:标签] [CAT:人物/对象] futa_with_male | 扶她与男性
[DOMAIN:标签] [CAT:人物/对象] human_only | 仅人类
[DOMAIN:标签] [CAT:人物/脸型] disembodied_head | 悬浮头颅
[DOMAIN:标签] [CAT:人物/性器官] big_pussy | 巨阴
[DOMAIN:标签] [CAT:人物/身材] flat_ass | 扁平臀部
[DOMAIN:标签] [CAT:人物/对象] monsterification | 怪物化
[DOMAIN:标签] [CAT:人物/眉毛] eyebrow_cut | 眉毛切口
[DOMAIN:标签] [CAT:人物/性器官] cum_on_penis | 阴茎精液
[DOMAIN:标签] [CAT:人物/对象] nape | 后颈
[DOMAIN:标签] [CAT:人物/性器官] black_pubic_hair | 黑色阴毛
[DOMAIN:标签] [CAT:人物/头发发型] multicolored_fur | 彩色毛发
[DOMAIN:标签] [CAT:人物/头发发型] red_fur | 红色毛发
[DOMAIN:标签] [CAT:人物/面部] pink_eyeshadow | 粉色眼影
[DOMAIN:标签] [CAT:人物/性器官] phimosis | 包茎
[DOMAIN:标签] [CAT:人物/皮肤] sweaty_body | 汗湿身体
[DOMAIN:标签] [CAT:人物/面部] teardrop_facial_mark | 泪滴面纹
[DOMAIN:标签] [CAT:人物/面部] nose_bubble | 鼻涕泡
[DOMAIN:标签] [CAT:人物/面部] blue_horns | 蓝色尖角
[DOMAIN:标签] [CAT:人物/性器官] cervix | 子宫颈
[DOMAIN:标签] [CAT:人物/身材] veiny_arms | 青筋手臂
[DOMAIN:标签] [CAT:人物/眼睛] upturned_eyes | 上挑眼型
[DOMAIN:标签] [CAT:人物/翅膀] striped_horns | 条纹角
[DOMAIN:标签] [CAT:人物/对象] creature_and_personification | 生物与拟人化
[DOMAIN:标签] [CAT:人物/腿部] hooves | 蹄
[DOMAIN:标签] [CAT:人物/腿部] snake_tail | 蛇尾
[DOMAIN:标签] [CAT:人物/嘴巴] green_lips | 绿色嘴唇
[DOMAIN:标签] [CAT:人物/眼睛] unusually_open_eyes | 异常睁大的眼睛
[DOMAIN:标签] [CAT:人物/面部] goatee_stubble | 山羊胡茬
[DOMAIN:标签] [CAT:人物/头发发型] flaming_hair | 火焰发
[DOMAIN:标签] [CAT:人物/头发发型] afro | 爆炸头
[DOMAIN:标签] [CAT:人物/身份（职业）] samurai | 武士
[DOMAIN:标签] [CAT:人物/面部] blue_eyeshadow | 蓝色眼影
[DOMAIN:标签] [CAT:人物/身份（职业）] bisexual_female | 双性恋女性
[DOMAIN:标签] [CAT:人物/身份（职业）] gym_leader | 道馆馆主
[DOMAIN:标签] [CAT:人物/牙齿] bared_teeth | 龇牙
[DOMAIN:标签] [CAT:人物/对象] look-alike | 长相相似
[DOMAIN:标签] [CAT:人物/身份（职业）] utaite | 唱见
[DOMAIN:标签] [CAT:人物/腿部] bird_legs | 鸟腿
[DOMAIN:标签] [CAT:人物/面部] bat_ears | 蝙蝠耳
[DOMAIN:标签] [CAT:人物/面部] multicolored_horns | 彩色尖角
[DOMAIN:标签] [CAT:人物/性器官] ovipositor | 产卵器
[DOMAIN:标签] [CAT:人物/身份（职业）] cousins | 表亲关系
[DOMAIN:标签] [CAT:人物/翅膀] long_tail | 长尾
[DOMAIN:标签] [CAT:人物/翅膀] goat_ears | 山羊耳
[DOMAIN:标签] [CAT:人物/眉毛] hikimayu | 引眉
[DOMAIN:标签] [CAT:人物/头发发型] fiery_hair | 火焰发
[DOMAIN:标签] [CAT:人物/胸部] veiny_breasts | 青筋乳房
[DOMAIN:标签] [CAT:人物/头发发型] roots_(hair) | 发根
[DOMAIN:标签] [CAT:人物/对象] hyur | 人族
[DOMAIN:标签] [CAT:人物/面部] scar_on_neck | 颈部伤疤
[DOMAIN:标签] [CAT:人物/皮肤] wrinkled_skin | 皮肤褶皱
[DOMAIN:标签] [CAT:人物/面部] stitched_face | 缝合脸
[DOMAIN:标签] [CAT:人物/皮肤] hickey | 吻痕
[DOMAIN:标签] [CAT:人物/眼睛] blood_from_eyes | 眼部流血
[DOMAIN:标签] [CAT:人物/面部] mole_under_each_eye | 眼下痣
[DOMAIN:标签] [CAT:人物/胸部] censored_nipples | 打码乳头
[DOMAIN:标签] [CAT:人物/翅膀] fake_wings | 伪翼
[DOMAIN:标签] [CAT:人物/皮肤] blood_stain | 血迹
[DOMAIN:标签] [CAT:人物/皮肤] patchwork_skin | 拼缀皮肤
[DOMAIN:标签] [CAT:人物/眼睛] thick_eyelashes | 浓密睫毛
[DOMAIN:标签] [CAT:人物/皮肤] alternate_skin_color | 异色皮肤
[DOMAIN:标签] [CAT:人物/皮肤] barcode_tattoo | 条形码纹身
[DOMAIN:标签] [CAT:人物/面部] mustache_stubble | 胡茬
[DOMAIN:标签] [CAT:人物/翅膀] spread_wings | 展翅
[DOMAIN:标签] [CAT:人物/头发发型] bowl_cut | 锅盖头
[DOMAIN:标签] [CAT:人物/指甲] bad_hands | 手部缺陷
[DOMAIN:标签] [CAT:人物/眼睛] cyclops | 独眼巨人
[DOMAIN:标签] [CAT:人物/皮肤] pink_blood | 粉色血液
[DOMAIN:标签] [CAT:人物/牙齿] buck_teeth | 龅牙
[DOMAIN:标签] [CAT:人物/身材] shortstack | 矮个子
[DOMAIN:标签] [CAT:人物/性器官] sparse_pubic_hair | 稀疏阴毛
[DOMAIN:标签] [CAT:人物/对象] convenient_arm | 便利手臂
[DOMAIN:标签] [CAT:人物/眉毛] curly_eyebrows | 卷曲眉毛
[DOMAIN:标签] [CAT:人物/对象] pyrokinesis | 控火能力
[DOMAIN:标签] [CAT:人物/对象] armless | 无臂
[DOMAIN:标签] [CAT:人物/身份（职业）] butler | 执事
[DOMAIN:标签] [CAT:人物/翅膀] purple_horns | 紫色犄角
[DOMAIN:标签] [CAT:人物/面部] eye_bags | 眼袋
[DOMAIN:标签] [CAT:人物/面部] long_beard | 长须
[DOMAIN:标签] [CAT:人物/头发发型] breast_curtain | 胸间垂发
[DOMAIN:标签] [CAT:人物/年龄] age_progression | 年龄增长
[DOMAIN:标签] [CAT:人物/头发发型] hair_through_headwear | 发丝透帽
[DOMAIN:标签] [CAT:人物/头发发型] multiple_braids | 多重辫发
[DOMAIN:标签] [CAT:人物/皮肤] body_freckles | 身体雀斑
[DOMAIN:标签] [CAT:人物/面部] mechanical_hands | 机械手
[DOMAIN:标签] [CAT:人物/皮肤] flower_tattoo | 花朵纹身
[DOMAIN:标签] [CAT:人物/头发发型] low-tied_sidelocks | 低系侧发
[DOMAIN:标签] [CAT:人物/性器官] puckered_anus | 肛门褶皱
[DOMAIN:标签] [CAT:人物/面部] thick_mustache | 浓密胡须
[DOMAIN:标签] [CAT:人物/性器官] dripping_pussy | 潮吹阴部
[DOMAIN:标签] [CAT:人物/身材] sidepec | 侧胸肌
[DOMAIN:标签] [CAT:人物/身份（职业）] goblin | 哥布林
[DOMAIN:标签] [CAT:人物/头发发型] hair_ears | 发丝耳朵
[DOMAIN:标签] [CAT:人物/牙齿] fangs_out | 露尖牙
[DOMAIN:标签] [CAT:人物/头发发型] prehensile_hair | 缠绕发
[DOMAIN:标签] [CAT:人物/面部] slap_mark | 掌掴痕迹
[DOMAIN:标签] [CAT:人物/皮肤] purple_fur | 紫色毛皮
[DOMAIN:标签] [CAT:人物/翅膀] yellow_wings | 黄色翅膀
[DOMAIN:标签] [CAT:人物/对象] rabbit_boy | 兔耳少年
[DOMAIN:标签] [CAT:人物/对象] bear_girl | 熊耳少女
[DOMAIN:标签] [CAT:人物/对象] dwarf | 矮人
[DOMAIN:标签] [CAT:人物/头发发型] tri_tails | 三股辫
[DOMAIN:标签] [CAT:人物/面部] aegyo_sal | 卧蚕
[DOMAIN:标签] [CAT:人物/性器官] perineum | 会阴部
[DOMAIN:标签] [CAT:人物/性器官] pubic_mound | 耻丘
[DOMAIN:标签] [CAT:人物/性器官] mismatched_pubic_hair | 异色阴毛
[DOMAIN:标签] [CAT:人物/对象] 6+others | 6+其他角色
[DOMAIN:标签] [CAT:人物/性器官] implied_futanari | 扶她暗示
[DOMAIN:标签] [CAT:人物/面部] pink_lipstick | 粉色唇膏
[DOMAIN:标签] [CAT:人物/对象] furrification | 毛茸茸化
[DOMAIN:标签] [CAT:人物/皮肤] gradient_skin | 渐变肤色
[DOMAIN:标签] [CAT:人物/对象] brown_tail | 棕色尾巴
[DOMAIN:标签] [CAT:人物/面部] fake_facial_hair | 假胡须
[DOMAIN:标签] [CAT:人物/腰部] strongman_waist | 大力士腰
[DOMAIN:标签] [CAT:人物/年龄] young_human | 年轻人类
[DOMAIN:标签] [CAT:人物/头发发型] twintails_(hairstyle) | 双马尾（发型）
[DOMAIN:标签] [CAT:人物/头发发型] neck_fur | 颈毛
[DOMAIN:标签] [CAT:人物/对象] viera | 维埃拉族
[DOMAIN:标签] [CAT:人物/指甲] hand_tattoo | 手部纹身
[DOMAIN:标签] [CAT:人物/对象] background_character | 背景角色
[DOMAIN:标签] [CAT:人物/性器官] excessive_pubic_hair | 过量阴毛
[DOMAIN:标签] [CAT:人物/舌头] blue_tongue | 蓝色舌头
[DOMAIN:标签] [CAT:人物/头发发型] blood_in_hair | 发间血迹
[DOMAIN:标签] [CAT:人物/对象] fish_girl | 鱼人少女
[DOMAIN:标签] [CAT:人物/对象] spider_girl | 蜘蛛娘
[DOMAIN:标签] [CAT:人物/性器官] groin_tendon | 腹股沟肌腱
[DOMAIN:标签] [CAT:人物/面部] bruise_on_face | 脸部淤青
[DOMAIN:标签] [CAT:人物/对象] partially_clothed_female | 部分着装女性
[DOMAIN:标签] [CAT:人物/瞳孔] drop-shaped_pupils | 水滴形瞳孔
[DOMAIN:标签] [CAT:人物/眼睛] blue_sclera | 蓝色巩膜
[DOMAIN:标签] [CAT:人物/头发发型] choppy_bangs | 参差刘海
[DOMAIN:标签] [CAT:人物/对象] uneven_horns | 不对称犄角
[DOMAIN:标签] [CAT:人物/身份（职业）] dominatrix | 支配者
[DOMAIN:标签] [CAT:人物/脸型] head_bump | 头部肿包
[DOMAIN:标签] [CAT:人物/性器官] penis_out | 阴茎外露
[DOMAIN:标签] [CAT:人物/头发发型] teal_hair | 青蓝色头发
[DOMAIN:标签] [CAT:人物/皮肤] birthmark | 胎记
[DOMAIN:标签] [CAT:人物/腿部] digitigrade | 趾行足
[DOMAIN:标签] [CAT:人物/对象] neck | 颈部
[DOMAIN:标签] [CAT:人物/对象] mostly_nude_male | 近全裸男性
[DOMAIN:标签] [CAT:人物/腹部] scar_on_stomach | 腹部伤疤
[DOMAIN:标签] [CAT:人物/指甲] nail_art | 美甲
[DOMAIN:标签] [CAT:人物/眼睛] no_sclera | 无眼白
[DOMAIN:标签] [CAT:人物/对象] purple_tail | 紫色尾巴
[DOMAIN:标签] [CAT:人物/面部] rosy_cheeks | 红润脸颊
[DOMAIN:标签] [CAT:人物/指甲] very_long_fingernails | 超长指甲
[DOMAIN:标签] [CAT:人物/翅膀] pink_wings | 粉色翅膀
[DOMAIN:标签] [CAT:人物/对象] plant_girl | 植物少女
[DOMAIN:标签] [CAT:人物/面部] thick_beard | 浓密胡须
[DOMAIN:标签] [CAT:人物/头发发型] dyed_bangs | 染色刘海
[DOMAIN:标签] [CAT:人物/对象] shirtless_male | 赤裸上身男性
[DOMAIN:标签] [CAT:人物/身材] spine | 脊柱
[DOMAIN:标签] [CAT:人物/面部] purple_lipstick | 紫色唇彩
[DOMAIN:标签] [CAT:人物/指甲] palms | 手掌
[DOMAIN:标签] [CAT:人物/对象] sword_girls | 剑少女
[DOMAIN:标签] [CAT:人物/性器官] large_testicles | 巨大睾丸
[DOMAIN:标签] [CAT:人物/腿部] prosthetic_leg | 义肢
[DOMAIN:标签] [CAT:人物/年龄] old_woman | 老妇
[DOMAIN:标签] [CAT:人物/鼻子] pointy_nose | 尖鼻子
[DOMAIN:标签] [CAT:人物/舌头] forked_tongue | 分叉舌
[DOMAIN:标签] [CAT:人物/翅膀] lizard_tail | 蜥蜴尾巴
[DOMAIN:标签] [CAT:人物/翅膀] crystal_wings | 水晶翅膀
[DOMAIN:标签] [CAT:人物/对象] multiple_scars | 多重伤疤
[DOMAIN:标签] [CAT:人物/头发发型] side_up_bun | 侧发髻
[DOMAIN:标签] [CAT:人物/头发发型] doughnut_hair_bun | 甜甜圈发髻
[DOMAIN:标签] [CAT:人物/性器官] pussy_outline | 阴部轮廓
[DOMAIN:标签] [CAT:人物/性器官] censored_pussy | 阴部打码
[DOMAIN:标签] [CAT:人物/对象] mole_on_ass | 臀部长痣
[DOMAIN:标签] [CAT:人物/头发发型] spiky_hair | 刺猬头
[DOMAIN:标签] [CAT:人物/头发发型] wolf_cut | 狼尾发型
[DOMAIN:标签] [CAT:人物/瞳孔] power_symbol-shaped_pupils | 力量符号形瞳孔
[DOMAIN:标签] [CAT:人物/嘴巴] rectangular_mouth | 矩形嘴
[DOMAIN:标签] [CAT:人物/翅膀] brown_wings | 棕色翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] nerd | 书呆子
[DOMAIN:标签] [CAT:人物/对象] half_naked | 半裸
[DOMAIN:标签] [CAT:人物/眼睛] white_eyelashes | 白色睫毛
[DOMAIN:标签] [CAT:人物/对象] spirit | 精灵
[DOMAIN:标签] [CAT:人物/性器官] penis_size_difference | 阴茎尺寸差异
[DOMAIN:标签] [CAT:人物/身份（职业）] berserk | 狂战士
[DOMAIN:标签] [CAT:人物/身份（职业）] mascot | 吉祥物
[DOMAIN:标签] [CAT:人物/身份（职业）] priest | 神父
[DOMAIN:标签] [CAT:人物/头发发型] blunt_tresses | 钝色发束
[DOMAIN:标签] [CAT:人物/翅膀] blue_feathers | 蓝色羽毛
[DOMAIN:标签] [CAT:人物/翅膀] deer_antlers | 鹿角
[DOMAIN:标签] [CAT:人物/眼睛] solid_eyes | 纯色眼眸
[DOMAIN:标签] [CAT:人物/身份（职业）] glutton | 暴食者
[DOMAIN:标签] [CAT:人物/身份（职业）] lion_boy | 狮耳少年
[DOMAIN:标签] [CAT:人物/面部] nostrils | 鼻孔
[DOMAIN:标签] [CAT:人物/翅膀] spiked_tail | 尖刺尾巴
[DOMAIN:标签] [CAT:人物/鼻子] big_nose | 大鼻子
[DOMAIN:标签] [CAT:人物/身份（职业）] chef | 厨师
[DOMAIN:标签] [CAT:人物/腿部] scar_on_leg | 腿部伤疤
[DOMAIN:标签] [CAT:人物/胸部] natural_breasts | 天然乳房
[DOMAIN:标签] [CAT:人物/身份（职业）] bat_girl | 蝙蝠女孩
[DOMAIN:标签] [CAT:人物/身份（职业）] adventurer_(ff11) | 冒险者（最终幻想11）
[DOMAIN:标签] [CAT:人物/脸型] severed_head | 断首
[DOMAIN:标签] [CAT:人物/面部] large_hands | 巨手
[DOMAIN:标签] [CAT:人物/性器官] girthy_penis | 粗大阴茎
[DOMAIN:标签] [CAT:人物/翅膀] no_wings | 无翼
[DOMAIN:标签] [CAT:人物/皮肤] tan_line | 晒痕
[DOMAIN:标签] [CAT:人物/对象] goat_girl | 山羊娘
[DOMAIN:标签] [CAT:人物/对象] traditional_youkai | 传统妖怪
[DOMAIN:标签] [CAT:人物/皮肤] body_hair | 体毛
[DOMAIN:标签] [CAT:人物/身份（职业）] delinquent | 不良少年
[DOMAIN:标签] [CAT:人物/翅膀] heart_tail | 心形尾巴
[DOMAIN:标签] [CAT:人物/牙齿] crescent_facial_mark | 新月面纹
[DOMAIN:标签] [CAT:人物/身份（职业）] psychic | 超能力者
[DOMAIN:标签] [CAT:人物/翅膀] large_wings | 巨大翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] onmyoji | 阴阳师
[DOMAIN:标签] [CAT:人物/头发发型] expressive_hair | 表情化发型
[DOMAIN:标签] [CAT:人物/皮肤] orange_skin | 橙色皮肤
[DOMAIN:标签] [CAT:人物/身份（职业）] ballerina | 芭蕾舞者
[DOMAIN:标签] [CAT:人物/对象] mechanical_ears | 机械耳
[DOMAIN:标签] [CAT:人物/对象] rat_tail | 鼠尾
[DOMAIN:标签] [CAT:人物/腿部] multi_leg | 多足
[DOMAIN:标签] [CAT:人物/面部] mole_on_cheek | 面颊痣
[DOMAIN:标签] [CAT:人物/面部] leopard_ears | 豹耳
[DOMAIN:标签] [CAT:人物/眉毛] red_eyebrows | 红眉
[DOMAIN:标签] [CAT:人物/瞳孔] rabbit-shaped_pupils | 兔形瞳孔
[DOMAIN:标签] [CAT:人物/指甲] grey_nails | 灰色指甲
[DOMAIN:标签] [CAT:人物/对象] deer_girl | 鹿角少女
[DOMAIN:标签] [CAT:人物/头发发型] jaguar_ears | 美洲豹耳朵
[DOMAIN:标签] [CAT:人物/头发发型] panda_ears | 熊猫耳
[DOMAIN:标签] [CAT:人物/嘴巴] thick_lips | 厚嘴唇
[DOMAIN:标签] [CAT:人物/对象] sciurid_humanoid | 松鼠类人生物
[DOMAIN:标签] [CAT:人物/头发发型] head_spikes | 头部尖刺
[DOMAIN:标签] [CAT:人物/身份（职业）] asian | 亚洲人
[DOMAIN:标签] [CAT:人物/腹部] fupa | 下腹脂肪垫
[DOMAIN:标签] [CAT:人物/性器官] invisible_penis | 隐形阴茎
[DOMAIN:标签] [CAT:人物/腿部] blue_tail | 蓝色尾巴
[DOMAIN:标签] [CAT:人物/眼睛] star_eyes | 星星眼
[DOMAIN:标签] [CAT:人物/头发发型] blonde_pubic_hair | 金色阴毛
[DOMAIN:标签] [CAT:人物/对象] centaur | 半人马
[DOMAIN:标签] [CAT:人物/性器官] spread_pussy_under_clothes | 衣下敞开的阴部
[DOMAIN:标签] [CAT:人物/胸部] light_areolae | 浅色乳晕
[DOMAIN:标签] [CAT:人物/腿部] ass_ripple | 臀部波动
[DOMAIN:标签] [CAT:人物/对象] pink_tail | 粉色尾巴
[DOMAIN:标签] [CAT:人物/头发发型] sidecut | 侧削发型
[DOMAIN:标签] [CAT:人物/胸部] bare_breasts | 裸露胸部
[DOMAIN:标签] [CAT:人物/头发发型] green_fur | 绿色毛发
[DOMAIN:标签] [CAT:人物/对象] friends | 朋友们
[DOMAIN:标签] [CAT:人物/肩部] sweaty_armpits | 汗湿腋窝
[DOMAIN:标签] [CAT:人物/头发发型] grey_tail | 灰尾
[DOMAIN:标签] [CAT:人物/眉毛] no_eyebrows | 无眉毛
[DOMAIN:标签] [CAT:人物/对象] fully_clothed_female | 衣着完整女性
[DOMAIN:标签] [CAT:人物/身份（职业）] male_maid | 男仆
[DOMAIN:标签] [CAT:人物/身份（职业）] shinsengumi | 新选组
[DOMAIN:标签] [CAT:人物/头发发型] leaf_hair | 叶片头发
[DOMAIN:标签] [CAT:人物/眼睛] artificial_eye | 人造眼
[DOMAIN:标签] [CAT:人物/翅膀] transparent_wings | 透明翅膀
[DOMAIN:标签] [CAT:人物/性器官] covered_penis | 遮挡阴茎
[DOMAIN:标签] [CAT:人物/性器官] dark_penis | 暗色阴茎
[DOMAIN:标签] [CAT:人物/身份（职业）] voice_actor | 声优
[DOMAIN:标签] [CAT:人物/皮肤] full-body_tattoo | 全身纹身
[DOMAIN:标签] [CAT:人物/皮肤] blood_on_arm | 手臂血迹
[DOMAIN:标签] [CAT:人物/嘴巴] blue_mouth | 蓝口
[DOMAIN:标签] [CAT:人物/翅膀] green_wings | 绿色翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] doctor | 医生
[DOMAIN:标签] [CAT:人物/对象] mechanization | 机械化
[DOMAIN:标签] [CAT:人物/对象] shikigami | 式神
[DOMAIN:标签] [CAT:人物/面部] cheek_bulge | 脸颊鼓胀
[DOMAIN:标签] [CAT:人物/身份（职业）] mesugaki | 雌小鬼
[DOMAIN:标签] [CAT:人物/身份（职业）] werewolf | 狼人
[DOMAIN:标签] [CAT:人物/对象] angel_and_devil | 天使与恶魔
[DOMAIN:标签] [CAT:人物/身份（职业）] teacher_and_student | 师生
[DOMAIN:标签] [CAT:人物/性器官] hairy_pussy | 多毛阴部
[DOMAIN:标签] [CAT:人物/皮肤] chest_scar | 胸部疤痕
[DOMAIN:标签] [CAT:人物/眼睛] cephalopod_eyes | 头足类眼睛
[DOMAIN:标签] [CAT:人物/身份（职业）] tree_squirrel_humanoid | 松鼠兽人
[DOMAIN:标签] [CAT:人物/嘴巴] extra_mouth | 额外嘴巴
[DOMAIN:标签] [CAT:人物/头发发型] side_ahoge | 侧边呆毛
[DOMAIN:标签] [CAT:人物/翅膀] red_tail | 红色尾巴
[DOMAIN:标签] [CAT:人物/性器官] anus_only | 仅肛门
[DOMAIN:标签] [CAT:人物/身份（职业）] salaryman | 上班族
[DOMAIN:标签] [CAT:人物/翅膀] prehensile_tail | 卷曲尾巴
[DOMAIN:标签] [CAT:人物/对象] centauroid | 半人马型
[DOMAIN:标签] [CAT:人物/眉毛] huge_eyebrows | 巨眉
[DOMAIN:标签] [CAT:人物/指甲] red_hands | 红色双手
[DOMAIN:标签] [CAT:人物/性器官] anal_hair | 肛毛
[DOMAIN:标签] [CAT:人物/对象] full-package_futanari | 全套装扶她
[DOMAIN:标签] [CAT:人物/对象] ugly_man | 丑陋男性
