[DOMAIN:标签] [CAT:表情动作/笑] smile | 微笑
[DOMAIN:标签] [CAT:表情动作/性爱动作] buttjob | 臀交
[DOMAIN:标签] [CAT:表情动作/手部动作] palms_together | 双手合十
[DOMAIN:标签] [CAT:表情动作/其他表情] worried_look | 忧虑表情
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] sword_over_shoulder | 肩扛剑
[DOMAIN:标签] [CAT:表情动作/手部动作] stroking_own_chin | 托抚下巴
[DOMAIN:标签] [CAT:表情动作/性爱动作] prostate_stimulation | 前列腺刺激
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_vegetable | 手持蔬菜
[DOMAIN:标签] [CAT:表情动作/基础动作] bowing | 鞠躬
[DOMAIN:标签] [CAT:表情动作/性爱动作] undressing_another | 为他人脱衣
[DOMAIN:标签] [CAT:表情动作/基础动作] standing_in_water | 水中站立
[DOMAIN:标签] [CAT:表情动作/其他动作] hanging | 悬挂
[DOMAIN:标签] [CAT:表情动作/性爱动作] making_out | 亲密拥吻
[DOMAIN:标签] [CAT:表情动作/其他动作] in_bucket | 在桶中
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_own_shoulder | 手搭己肩
[DOMAIN:标签] [CAT:表情动作/手部动作] dress_tug | 拽裙子
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_hose | 手持软管
[DOMAIN:标签] [CAT:表情动作/手部动作] painting_(action) | 绘画（动作）
[DOMAIN:标签] [CAT:表情动作/手部动作] shirt_up | 掀起上衣
[DOMAIN:标签] [CAT:表情动作/其他表情] glare | 瞪视
[DOMAIN:标签] [CAT:表情动作/手部动作] hair_in_own_mouth | 发丝入口
[DOMAIN:标签] [CAT:表情动作/性爱动作] anilingus | 舔肛
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_fishing_rod | 手持钓竿
[DOMAIN:标签] [CAT:表情动作/基础动作] sitting_on_object | 坐于物体上
[DOMAIN:标签] [CAT:表情动作/手部动作] brushing_teeth | 刷牙
[DOMAIN:标签] [CAT:表情动作/手部动作] waist_grab | 揽腰
[DOMAIN:标签] [CAT:表情动作/其他动作] ryona | 凌辱少女
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_ladle | 手持长勺
[DOMAIN:标签] [CAT:表情动作/不开心] unamused | 不悦
[DOMAIN:标签] [CAT:表情动作/手部动作] raised_fist | 高举拳头
[DOMAIN:标签] [CAT:表情动作/性爱动作] molestation | 猥亵
[DOMAIN:标签] [CAT:表情动作/其他动作] role_reversal | 角色互换
[DOMAIN:标签] [CAT:表情动作/基础动作] wiping_face | 擦脸动作
[DOMAIN:标签] [CAT:表情动作/性爱动作] breast_smother | 胸部挤压
[DOMAIN:标签] [CAT:表情动作/基础动作] forehead-to-forehead | 额间相触
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_own_neck | 手搭己颈
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_jacket | 手持夹克
[DOMAIN:标签] [CAT:表情动作/基础动作] drawing_bow | 拉弓姿势
[DOMAIN:标签] [CAT:表情动作/手抓着某物] grabbing_another's_arm | 抓住他人手臂
[DOMAIN:标签] [CAT:表情动作/基础动作] cheek_press | 贴脸
[DOMAIN:标签] [CAT:表情动作/手抓着某物] wrist_grab | 抓手腕
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] hugging_pillow | 抱枕头
[DOMAIN:标签] [CAT:表情动作/手部动作] hair_lift | 托发
[DOMAIN:标签] [CAT:表情动作/性爱动作] projectile_lactation | 喷射乳汁
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_stylus | 握着触控笔
[DOMAIN:标签] [CAT:表情动作/手部动作] cupping_hands | 双手捧物
[DOMAIN:标签] [CAT:表情动作/其他动作] shared_food | 共享食物
[DOMAIN:标签] [CAT:表情动作/其他动作] cleaning | 打扫
[DOMAIN:标签] [CAT:表情动作/腿部动作] on_hind_legs | 后腿站立
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_another's_leg | 手放他人腿上
[DOMAIN:标签] [CAT:表情动作/腿部动作] sidesaddle | 侧鞍坐姿
[DOMAIN:标签] [CAT:表情动作/其他动作] breast_jiggle | 胸部晃动
[DOMAIN:标签] [CAT:表情动作/性爱动作] oral_invitation | 口交邀请
[DOMAIN:标签] [CAT:表情动作/性爱动作] licking_another's_face | 舔舐他人脸颊
[DOMAIN:标签] [CAT:表情动作/其他表情] confession | 告白
[DOMAIN:标签] [CAT:表情动作/手部动作] guiding_hand | 引导之手
[DOMAIN:标签] [CAT:表情动作/基础动作] arm_between_breasts | 手臂夹胸
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] ribbon_in_mouth | 口衔丝带
[DOMAIN:标签] [CAT:表情动作/腿部动作] curtsey | 屈膝礼
[DOMAIN:标签] [CAT:表情动作/其他表情] looking_at_food | 注视食物
[DOMAIN:标签] [CAT:表情动作/基础动作] lifting | 举重
[DOMAIN:标签] [CAT:表情动作/腿部动作] wide_stance | 大开立姿势
[DOMAIN:标签] [CAT:表情动作/性爱动作] cooperative_paizuri | 合作乳交
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_tablet_pc | 手持平板电脑
[DOMAIN:标签] [CAT:表情动作/手抓着某物] holding_own_tail | 抓握自己尾巴
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] shirt_in_mouth | 咬住衬衫
[DOMAIN:标签] [CAT:表情动作/其他动作] voyeurism | 窥视癖
[DOMAIN:标签] [CAT:表情动作/性爱动作] spooning | 相拥侧卧
[DOMAIN:标签] [CAT:表情动作/手抓着某物] necktie_grab | 拽领带
[DOMAIN:标签] [CAT:表情动作/其他动作] stepped_on | 被踩踏
[DOMAIN:标签] [CAT:表情动作/腿部动作] high_kick | 高踢腿
[DOMAIN:标签] [CAT:表情动作/基础动作] wiping_sweat | 擦汗
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_needle | 持针
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_saucer | 手持茶碟
[DOMAIN:标签] [CAT:表情动作/性爱动作] handjob_while_penetrating | 插入时打手枪
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_bucket | 手持水桶
[DOMAIN:标签] [CAT:表情动作/性爱动作] shimaidon_(sex) | 岛豚（性行为）
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_chin | 托下巴
[DOMAIN:标签] [CAT:表情动作/其他表情] exhausted | 精疲力尽
[DOMAIN:标签] [CAT:表情动作/其他动作] freediving | 自由潜水
[DOMAIN:标签] [CAT:表情动作/手部动作] sniffing_clothes | 嗅闻衣物
[DOMAIN:标签] [CAT:表情动作/手部动作] cheek_squash | 脸颊挤压
[DOMAIN:标签] [CAT:表情动作/性爱动作] fingering_through_clothes | 隔衣抚弄
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_violin | 持小提琴
[DOMAIN:标签] [CAT:表情动作/其他动作] hydrokinesis | 控水能力
[DOMAIN:标签] [CAT:表情动作/性爱动作] cumshot_in_mouth | 口内射精
[DOMAIN:标签] [CAT:表情动作/其他动作] ear_wiggle | 耳朵摇动
[DOMAIN:标签] [CAT:表情动作/手部动作] thighhighs_pull | 大腿袜：长筒袜：过膝袜上拉
[DOMAIN:标签] [CAT:表情动作/手抓着某物] tail_grab | 抓尾巴
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_between_breasts | 乳沟射精
[DOMAIN:标签] [CAT:表情动作/手部动作] ear_grab | 抓耳
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] texting | 发短信
[DOMAIN:标签] [CAT:表情动作/性爱动作] rough_sex | 粗暴性爱
[DOMAIN:标签] [CAT:表情动作/性爱动作] inviting_to_sex | 邀欢
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_lap | 手搭膝上
[DOMAIN:标签] [CAT:表情动作/性爱动作] imminent_anal | 即将肛交
[DOMAIN:标签] [CAT:表情动作/其他表情] possessed | 附身
[DOMAIN:标签] [CAT:表情动作/手部动作] applying_makeup | 化妆中
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_cotton_candy | 手持棉花糖
[DOMAIN:标签] [CAT:表情动作/性爱动作] implied_yaoi | 隐含BL
[DOMAIN:标签] [CAT:表情动作/性爱动作] masturbation_through_clothes | 隔衣自慰
[DOMAIN:标签] [CAT:表情动作/腿部动作] leg_between_thighs | 腿夹大腿
[DOMAIN:标签] [CAT:表情动作/其他表情] pouting | 嘟嘴
[DOMAIN:标签] [CAT:表情动作/其他动作] slapping | 掌掴
[DOMAIN:标签] [CAT:表情动作/其他动作] accidental_exposure | 意外走光
[DOMAIN:标签] [CAT:表情动作/性爱动作] after_rape | 强奸后
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] utensil_in_mouth | 衔餐具
[DOMAIN:标签] [CAT:表情动作/手部动作] finger_heart | 手指爱心
[DOMAIN:标签] [CAT:表情动作/其他动作] cum_on_self | 精液溅身
[DOMAIN:标签] [CAT:表情动作/其他动作] comforting | 安抚
[DOMAIN:标签] [CAT:表情动作/其他动作] frottage | 摩擦
[DOMAIN:标签] [CAT:表情动作/手抓着某物] grabbing | 抓握
[DOMAIN:标签] [CAT:表情动作/腿部动作] tail_between_legs | 夹尾姿态
[DOMAIN:标签] [CAT:表情动作/手部动作] finger_to_face | 手指贴脸
[DOMAIN:标签] [CAT:表情动作/其他动作] giving_up_the_ghost | 灵魂出窍
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] touching_penis | 触摸阴茎
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_own_ass | 手放臀部
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_explosion | 精液爆发
[DOMAIN:标签] [CAT:表情动作/其他表情] blank_stare | 茫然凝视
[DOMAIN:标签] [CAT:表情动作/手抓着某物] belly_grab | 抓握腹部
[DOMAIN:标签] [CAT:表情动作/手抓着某物] shirt_grab | 抓衣领
[DOMAIN:标签] [CAT:表情动作/其他动作] telekinesis | 念动力
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_beachball | 手持沙滩球
[DOMAIN:标签] [CAT:表情动作/性爱动作] bouncing_ass | 臀部弹动
[DOMAIN:标签] [CAT:表情动作/其他表情] looking_at_breasts | 注视胸部
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_envelope | 手持信封
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_megaphone | 手持扩音器
[DOMAIN:标签] [CAT:表情动作/腿部动作] legs_folded | 交叠双腿
[DOMAIN:标签] [CAT:表情动作/手部动作] arms_around_waist | 搂腰
[DOMAIN:标签] [CAT:表情动作/其他动作] untying | 解开
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] drawing_sword | 拔刀
[DOMAIN:标签] [CAT:表情动作/性爱动作] guided_breast_grab | 引导式揉胸
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_own_forehead | 扶额
[DOMAIN:标签] [CAT:表情动作/其他动作] hitting | 击打
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_feet | 手脚并用
[DOMAIN:标签] [CAT:表情动作/性爱动作] dildo_riding | 骑乘按摩棒
[DOMAIN:标签] [CAT:表情动作/手部动作] clapping | 拍手
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_pizza | 手持披萨
[DOMAIN:标签] [CAT:表情动作/手部动作] eyelid_pull | 扯眼皮
[DOMAIN:标签] [CAT:表情动作/性爱动作] perpendicular_paizuri | 垂直乳交
[DOMAIN:标签] [CAT:表情动作/基础动作] animal_on_lap | 膝上动物
[DOMAIN:标签] [CAT:表情动作/基础动作] on_motorcycle | 骑摩托车
[DOMAIN:标签] [CAT:表情动作/腿部动作] feet_together | 双脚并拢
[DOMAIN:标签] [CAT:表情动作/基础动作] ballet | 芭蕾舞
[DOMAIN:标签] [CAT:表情动作/性爱动作] safe_sex | 安全性行为
[DOMAIN:标签] [CAT:表情动作/基础动作] balancing | 平衡动作
[DOMAIN:标签] [CAT:表情动作/手部动作] brushing_another's_hair | 为他人梳发
[DOMAIN:标签] [CAT:表情动作/基础动作] dropping | 坠落
[DOMAIN:标签] [CAT:表情动作/其他动作] farting_on_face | 面部放屁
[DOMAIN:标签] [CAT:表情动作/基础动作] looking_outside | 眺望窗外
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_riding_crop | 手持马鞭
[DOMAIN:标签] [CAT:表情动作/性爱动作] just_the_tip | 仅尖端进入
[DOMAIN:标签] [CAT:表情动作/性爱动作] ass_clapping | 臀瓣拍击
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_notebook | 手持笔记本
[DOMAIN:标签] [CAT:表情动作/手部动作] pinching_sleeves | 捏袖口
[DOMAIN:标签] [CAT:表情动作/手放在某地] ass_support | 臀部支撑
[DOMAIN:标签] [CAT:表情动作/性爱动作] ass_to_mouth | 肛交至口交
[DOMAIN:标签] [CAT:表情动作/手部动作] reading_book | 阅读书籍
[DOMAIN:标签] [CAT:表情动作/手放在某地] head_on_hand | 托腮
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] force_feeding | 强制喂食
[DOMAIN:标签] [CAT:表情动作/基础动作] climbing | 攀岩
[DOMAIN:标签] [CAT:表情动作/腿部动作] outstretched_leg | 伸展的腿
[DOMAIN:标签] [CAT:表情动作/性爱动作] adult_on_child | 成人对儿童
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_own_stomach | 手放在腹部
[DOMAIN:标签] [CAT:表情动作/手部动作] kimono_pull | 和服前襟
[DOMAIN:标签] [CAT:表情动作/其他动作] groping_from_behind | 背后摸索
[DOMAIN:标签] [CAT:表情动作/其他表情] enjoying | 享受中
[DOMAIN:标签] [CAT:表情动作/手部动作] underwear_sniffing | 嗅闻内裤
[DOMAIN:标签] [CAT:表情动作/性爱动作] stealth_sex | 隐秘性行为
[DOMAIN:标签] [CAT:表情动作/手部动作] hat_tip | 帽檐轻抬
[DOMAIN:标签] [CAT:表情动作/手部动作] kissing_hand | 亲吻手背
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_ribbon | 手持缎带
[DOMAIN:标签] [CAT:表情动作/基础动作] \o/ | 举手欢呼
[DOMAIN:标签] [CAT:表情动作/基础动作] glomp | 猛扑拥抱
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] pocky_in_mouth | 口中百奇棒
[DOMAIN:标签] [CAT:表情动作/手部动作] mouth_pull | 扯嘴动作
[DOMAIN:标签] [CAT:表情动作/其他表情] akanbe | 阿坎贝
[DOMAIN:标签] [CAT:表情动作/其他表情] puffed_cheeks | 鼓腮
[DOMAIN:标签] [CAT:表情动作/其他动作] suspended_in_midair | 悬空状态
[DOMAIN:标签] [CAT:表情动作/基础动作] riding_pokemon | 骑乘宝可梦
[DOMAIN:标签] [CAT:表情动作/其他动作] pouring_onto_self | 倾洒自身
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_in_clothes | 衣内射精
[DOMAIN:标签] [CAT:表情动作/腿部动作] ass_shake | 抖臀
[DOMAIN:标签] [CAT:表情动作/其他表情] silly | 傻气
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_drumsticks | 手持鼓槌
[DOMAIN:标签] [CAT:表情动作/性爱动作] stroking_penis | 撸动阴茎
[DOMAIN:标签] [CAT:表情动作/其他动作] shaking | 摇晃
[DOMAIN:标签] [CAT:表情动作/基础动作] jojo_pose | JOJO立
[DOMAIN:标签] [CAT:表情动作/性爱动作] full_nelson_(legs_held) | 全身压制（锁腿式）
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_jewelry | 手持珠宝
[DOMAIN:标签] [CAT:表情动作/不开心] bored | 无聊
[DOMAIN:标签] [CAT:表情动作/性爱动作] rimming_male | 男性舔肛
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_letter | 手持信件
[DOMAIN:标签] [CAT:表情动作/基础动作] drying_hair | 吹头发
[DOMAIN:标签] [CAT:表情动作/腿部动作] bowlegged_pose | 罗圈腿姿势
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_chocolate | 手持巧克力
[DOMAIN:标签] [CAT:表情动作/手部动作] heart_in_heart_hands | 手心捧心
[DOMAIN:标签] [CAT:表情动作/基础动作] arms_between_legs | 腿间夹臂
[DOMAIN:标签] [CAT:表情动作/其他表情] passionate | 激情四射
[DOMAIN:标签] [CAT:表情动作/手放在某地] ruffling_hair | 揉头发
[DOMAIN:标签] [CAT:表情动作/手放在某地] breasts_on_table | 胸部置于桌上
[DOMAIN:标签] [CAT:表情动作/其他动作] henshin | 变身
[DOMAIN:标签] [CAT:表情动作/不开心] broken_heart | 心碎
[DOMAIN:标签] [CAT:表情动作/其他动作] peeping | 窥视
[DOMAIN:标签] [CAT:表情动作/其他动作] struggling | 挣扎
[DOMAIN:标签] [CAT:表情动作/其他动作] covering_one_eye | 遮单眼
[DOMAIN:标签] [CAT:表情动作/基础动作] ready_to_draw | 准备作画
[DOMAIN:标签] [CAT:表情动作/手部动作] hands_on_own_breasts | 双手自抚胸
[DOMAIN:标签] [CAT:表情动作/手放在某地] elbows_on_table | 肘撑桌面
[DOMAIN:标签] [CAT:表情动作/其他动作] pinned | 被按住
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_fireworks | 手持烟花
[DOMAIN:标签] [CAT:表情动作/其他动作] face_in_breasts | 埋胸
[DOMAIN:标签] [CAT:表情动作/其他动作] archery | 射箭
[DOMAIN:标签] [CAT:表情动作/其他动作] slashing | 劈砍
[DOMAIN:标签] [CAT:表情动作/其他表情] v_over_mouth | V形掩口
[DOMAIN:标签] [CAT:表情动作/其他表情] pursed_lips | 噘嘴
[DOMAIN:标签] [CAT:表情动作/腿部动作] legs_over_head | 腿举过头
[DOMAIN:标签] [CAT:表情动作/手部动作] holding_legs | 抱腿
[DOMAIN:标签] [CAT:表情动作/性爱动作] penises_touching | 阴茎接触
[DOMAIN:标签] [CAT:表情动作/其他表情] affectionate | 深情款款
[DOMAIN:标签] [CAT:表情动作/性爱动作] female_rape | 女性强暴
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_branch | 手持树枝
[DOMAIN:标签] [CAT:表情动作/其他表情] crazy | 疯狂
[DOMAIN:标签] [CAT:表情动作/基础动作] washing | 清洗
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_sex_toy | 手持性玩具
[DOMAIN:标签] [CAT:表情动作/性爱动作] consensual_tentacles | 合意触手
[DOMAIN:标签] [CAT:表情动作/手部动作] tail_hug | 尾巴环绕
[DOMAIN:标签] [CAT:表情动作/手抓着某物] holding_another's_leg | 握他人腿
[DOMAIN:标签] [CAT:表情动作/性爱动作] nursing_handjob | 护理手交
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_own_elbow | 手扶肘部
[DOMAIN:标签] [CAT:表情动作/手部动作] unzipping | 解压中
[DOMAIN:标签] [CAT:表情动作/手抓着某物] holding_behind_back | 背后握持
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_mug | 手持马克杯
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_ground | 撑地
[DOMAIN:标签] [CAT:表情动作/其他动作] fine_motion_(umamusume) | 精微动作（赛马娘）
[DOMAIN:标签] [CAT:表情动作/基础动作] ojou-sama_pose | 大小姐姿势
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] stalk_in_mouth | 茎秆叼嘴
[DOMAIN:标签] [CAT:表情动作/基础动作] hoodie_lift | 掀起兜帽
[DOMAIN:标签] [CAT:表情动作/基础动作] sword_behind_back | 背后负剑
[DOMAIN:标签] [CAT:表情动作/其他动作] theft | 偷窃
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_ground | 手撑地面
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_money | 手持金钱
[DOMAIN:标签] [CAT:表情动作/手部动作] adjusting_legwear | 整理腿袜
[DOMAIN:标签] [CAT:表情动作/其他动作] human_scabbard | 人体刀鞘
[DOMAIN:标签] [CAT:表情动作/不开心] upset | 沮丧
[DOMAIN:标签] [CAT:表情动作/其他动作] peeing_on_another | 对他人排尿
[DOMAIN:标签] [CAT:表情动作/手抓着某物] leash_pull | 拉扯牵绳
[DOMAIN:标签] [CAT:表情动作/基础动作] arm_between_legs | 手臂夹于腿间
[DOMAIN:标签] [CAT:表情动作/其他表情] to_heart | 暗恋
[DOMAIN:标签] [CAT:表情动作/其他动作] tearing_clothes | 撕衣
[DOMAIN:标签] [CAT:表情动作/其他表情] determined | 坚定
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_under_shirt | 手在衬衫下
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_teapot | 手持茶壶
[DOMAIN:标签] [CAT:表情动作/基础动作] pushing | 推挤
[DOMAIN:标签] [CAT:表情动作/手部动作] adjusting_necktie | 调整领带
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_frying_pan | 手持平底锅
[DOMAIN:标签] [CAT:表情动作/基础动作] weightlifting | 举重
[DOMAIN:标签] [CAT:表情动作/手部动作] biting_ear | 咬耳垂
[DOMAIN:标签] [CAT:表情动作/手部动作] fanning_self | 扇风
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_another's_hips | 扶他人腰
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_on_pussy | 阴部射精
[DOMAIN:标签] [CAT:表情动作/手部动作] cutting_hair | 剪发
[DOMAIN:标签] [CAT:表情动作/性爱动作] buruma_pull | 运动短裤下拉
[DOMAIN:标签] [CAT:表情动作/基础动作] tail_in_mouth | 尾巴含在嘴里
[DOMAIN:标签] [CAT:表情动作/腿部动作] flying_kick | 飞踢
[DOMAIN:标签] [CAT:表情动作/手放在某地] hands_on_another's_thighs | 手放他人大腿
[DOMAIN:标签] [CAT:表情动作/其他动作] playing | 玩耍
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_remote_control | 手持遥控器
[DOMAIN:标签] [CAT:表情动作/手部动作] finger_frame | 手指相框
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_wrench | 手持扳手
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_skull | 手持头骨
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_another's_hand | 叠手
[DOMAIN:标签] [CAT:表情动作/基础动作] on_stool | 坐于凳上
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_wall | 扶墙
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_detached_head | 手持断首
[DOMAIN:标签] [CAT:表情动作/性爱动作] breastfeeding | 哺乳
[DOMAIN:标签] [CAT:表情动作/手部动作] facepalm | 扶额
[DOMAIN:标签] [CAT:表情动作/手部动作] phone_call | 通话中
[DOMAIN:标签] [CAT:表情动作/基础动作] ghost_pose | 鬼魂姿势
[DOMAIN:标签] [CAT:表情动作/性爱动作] presenting_pussy | 展示阴部
[DOMAIN:标签] [CAT:表情动作/其他动作] levitation | 漂浮
[DOMAIN:标签] [CAT:表情动作/其他动作] swinging | 摇摆
[DOMAIN:标签] [CAT:表情动作/其他表情] panicking | 惊慌失措
[DOMAIN:标签] [CAT:表情动作/其他动作] shooting | 射击
[DOMAIN:标签] [CAT:表情动作/腿部动作] dorsiflexion | 背屈
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] food_request | 食物请求
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_crepe | 手持可丽饼
[DOMAIN:标签] [CAT:表情动作/性爱动作] pussy_juice_drip_through_clothes | 蜜汁浸透衣物
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_creature | 怀抱生物
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] toast_in_mouth | 叼着吐司
[DOMAIN:标签] [CAT:表情动作/基础动作] head_on_chest | 头靠胸前
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_on_pectorals | 胸肌射精
[DOMAIN:标签] [CAT:表情动作/性爱动作] hairjob | 发交
[DOMAIN:标签] [CAT:表情动作/性爱动作] kissing_penis | 亲吻阴茎
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_to_head | 手触头
[DOMAIN:标签] [CAT:表情动作/基础动作] arm_above_head | 手臂举过头顶
[DOMAIN:标签] [CAT:表情动作/基础动作] blowing | 吹气
[DOMAIN:标签] [CAT:表情动作/性爱动作] portal_sex | 传送门性爱
[DOMAIN:标签] [CAT:表情动作/性爱动作] cum_in_nose | 鼻内精液
[DOMAIN:标签] [CAT:表情动作/手放在某地] hand_on_glass | 手贴玻璃
[DOMAIN:标签] [CAT:表情动作/基础动作] handstand | 倒立
[DOMAIN:标签] [CAT:表情动作/手部动作] opened_by_self | 自行打开
[DOMAIN:标签] [CAT:表情动作/性爱动作] two-handed_handjob | 双手爱抚
[DOMAIN:标签] [CAT:表情动作/手部动作] animal_on_arm | 臂上动物
[DOMAIN:标签] [CAT:表情动作/其他动作] abuse | 虐待
[DOMAIN:标签] [CAT:表情动作/基础动作] hair_flip | 甩发
[DOMAIN:标签] [CAT:表情动作/手部动作] cheek_pull | 扯脸
[DOMAIN:标签] [CAT:表情动作/手部动作] covering_ass | 遮臀
[DOMAIN:标签] [CAT:表情动作/性爱动作] guided_penetration | 引导进入
[DOMAIN:标签] [CAT:表情动作/手放在某地] in_palm | 掌心
[DOMAIN:标签] [CAT:表情动作/性爱动作] implied_fellatio | 暗示口交
[DOMAIN:标签] [CAT:表情动作/手部动作] two-finger_salute | 双指敬礼
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_plectrum | 持拨片
[DOMAIN:标签] [CAT:表情动作/性爱动作] forced_orgasm | 强制高潮
[DOMAIN:标签] [CAT:表情动作/手放在某地] arm_on_knee | 搭膝手臂
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_dildo | 手持假阳具
[DOMAIN:标签] [CAT:表情动作/基础动作] sitting_on_table | 坐于桌上
[DOMAIN:标签] [CAT:表情动作/手部动作] licking_armpit | 舔腋窝
[DOMAIN:标签] [CAT:表情动作/其他表情] relieved | 释然
[DOMAIN:标签] [CAT:表情动作/其他动作] playing_sports | 运动
[DOMAIN:标签] [CAT:表情动作/其他动作] bound_together | 捆绑在一起
[DOMAIN:标签] [CAT:表情动作/其他动作] text_messaging | 短信交流
[DOMAIN:标签] [CAT:表情动作/性爱动作] triple_penetration | 三重插入
[DOMAIN:标签] [CAT:表情动作/性爱动作] surprise_sex | 突袭性爱
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_coin | 手持硬币
[DOMAIN:标签] [CAT:表情动作/其他表情] spit_take | 喷水反应
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_microphone_stand | 手持麦克风架
[DOMAIN:标签] [CAT:表情动作/其他表情] personality_switch | 人格切换
[DOMAIN:标签] [CAT:表情动作/性爱动作] vaginal_birth | 阴道分娩
[DOMAIN:标签] [CAT:表情动作/腿部动作] presenting_ass | 翘臀姿势
[DOMAIN:标签] [CAT:表情动作/其他表情] cum_drool | 精液垂涎
[DOMAIN:标签] [CAT:表情动作/手部动作] jacket_pull | 拉扯夹克
[DOMAIN:标签] [CAT:表情动作/其他表情] gassy | 胀气
[DOMAIN:标签] [CAT:表情动作/手部拿着某物] holding_mop | 手持拖把
[DOMAIN:标签] [CAT:表情动作/性爱动作] licking_foot | 舔脚
[DOMAIN:标签] [CAT:表情动作/手部动作] hand_on_own_ear | 手触己耳
[DOMAIN:标签] [CAT:表情动作/其他动作] pectoral_press | 胸部挤压
[DOMAIN:标签] [CAT:表情动作/其他动作] group_hug | 集体拥抱
[DOMAIN:标签] [CAT:表情动作/性爱动作] implied_fingering | 暗示性抚摸
[DOMAIN:标签] [CAT:表情动作/性爱动作] urethral_insertion | 尿道插入
